geoid,tract_name,aland_sqkm,total_reports,phone_reports,digital_reports,pop2020,other_reports,reports_per_1000_residents,reports_per_sqkm,pct_phone,pct_digital
48453002313,Census Tract 23.13,2.432026,3271,2239,968,4192,64,780.3,1345.0,68.5,29.6
48453001915,Census Tract 19.15,6.181361,3260,2318,888,3404,54,957.7,527.4,71.1,27.2
48453001606,Census Tract 16.06,0.503773,3211,2369,822,228,20,14083.3,6373.9,73.8,25.6
48453002006,Census Tract 20.06,0.727895,3171,2089,1055,2890,27,1097.2,4356.4,65.9,33.3
48453045400,Census Tract 454,4.812462,3163,2122,994,6785,47,466.2,657.3,67.1,31.4
48453002214,Census Tract 22.14,9.488862,2995,2190,757,3624,48,826.4,315.6,73.1,25.3
48453034600,Census Tract 346,9.502566,2976,2179,734,4889,63,608.7,313.2,73.2,24.7
48453002327,Census Tract 23.27,2.424917,2976,1632,1302,4321,42,688.7,1227.3,54.8,43.8
48453002322,Census Tract 23.22,1.230173,2913,1909,966,2011,38,1448.5,2368.0,65.5,33.2
48453001911,Census Tract 19.11,3.274085,2908,1865,1004,2948,39,986.4,888.2,64.1,34.5
48453030500,Census Tract 305,20.852702,2908,2159,699,6521,50,445.9,139.5,74.2,24.0
48453030800,Census Tract 308,2.827972,2882,1930,926,3893,26,740.3,1019.1,67.0,32.1
48453032600,Census Tract 326,7.432046,2745,1873,839,5829,33,470.9,369.3,68.2,30.6
48453002304,Census Tract 23.04,1.238152,2655,1101,1522,4166,32,637.3,2144.3,41.5,57.3
48453045100,Census Tract 451,1.427205,2641,1752,861,2812,28,939.2,1850.5,66.3,32.6
48453001914,Census Tract 19.14,13.677504,2610,1965,608,6805,37,383.5,190.8,75.3,23.3
48453037100,Census Tract 371,1.804154,2490,1856,616,2629,18,947.1,1380.1,74.5,24.7
48453032800,Census Tract 328,2.186531,2473,1783,665,2206,25,1121.0,1131.0,72.1,26.9
48453002447,Census Tract 24.47,4.040858,2456,1572,845,3393,39,723.8,607.8,64.0,34.4
48453002445,Census Tract 24.45,12.548195,2449,1689,741,8161,19,300.1,195.2,69.0,30.3
48453002314,Census Tract 23.14,2.48162,2380,1728,607,5999,45,396.7,959.1,72.6,25.5
48453042400,Census Tract 424,61.028484,2371,1664,674,11722,33,202.3,38.9,70.2,28.4
48453042000,Census Tract 420,5.758806,2366,1533,811,2436,22,971.3,410.8,64.8,34.3
48453001403,Census Tract 14.03,0.800036,2346,1489,822,1391,35,1686.6,2932.4,63.5,35.0
48453002211,Census Tract 22.11,6.799964,2326,1812,479,3592,35,647.6,342.1,77.9,20.6
48453001922,Census Tract 19.22,2.185774,2318,1440,849,2324,29,997.4,1060.5,62.1,36.6
48453002430,Census Tract 24.30,2.233372,2292,1341,879,2267,72,1011.0,1026.3,58.5,38.4
48453031600,Census Tract 316,3.373727,2263,1505,711,2365,47,956.9,670.8,66.5,31.4
48453002326,Census Tract 23.26,0.7151,2255,1031,1181,1307,43,1725.3,3153.4,45.7,52.4
48453032400,Census Tract 324,2.318158,2248,1410,800,1558,38,1442.9,969.7,62.7,35.6
48453043700,Census Tract 437,0.910767,2148,1352,774,2332,22,921.1,2358.5,62.9,36.0
48453032100,Census Tract 321,6.070399,2140,1380,722,5434,38,393.8,352.5,64.5,33.7
48453044100,Census Tract 441,2.836431,2090,833,1245,3933,12,531.4,736.8,39.9,59.6
48453002319,Census Tract 23.19,0.713143,2065,1726,311,2330,28,886.3,2895.6,83.6,15.1
48453041200,Census Tract 412,3.220267,1995,1204,774,2811,17,709.7,619.5,60.4,38.8
48453042900,Census Tract 429,1.470386,1973,1475,472,3218,26,613.1,1341.8,74.8,23.9
48453041900,Census Tract 419,2.656097,1970,1353,558,3237,59,608.6,741.7,68.7,28.3
48453002449,Census Tract 24.49,19.219362,1958,1611,328,6501,19,301.2,101.9,82.3,16.8
48453044000,Census Tract 440,2.344438,1904,1362,522,3167,20,601.2,812.1,71.5,27.4
48453044300,Census Tract 443,3.495801,1891,1488,381,7018,22,269.4,540.9,78.7,20.1
48453001912,Census Tract 19.12,13.484912,1859,1388,441,4385,30,423.9,137.9,74.7,23.7
48453002450,Census Tract 24.50,29.677379,1801,1594,196,3538,11,509.0,60.7,88.5,10.9
48453045300,Census Tract 453,2.659465,1781,1015,736,4120,30,432.3,669.7,57.0,41.3
48453044700,Census Tract 447,1.754618,1672,1166,485,2026,21,825.3,952.9,69.7,29.0
48453980000,Census Tract 9800,17.31999,1618,1163,432,3,23,539333.3,93.4,71.9,26.7
48453002220,Census Tract 22.20,5.073789,1610,1011,580,3795,19,424.2,317.3,62.8,36.0
48453044200,Census Tract 442,2.664823,1529,1097,406,5344,26,286.1,573.8,71.7,26.6
48453002407,Census Tract 24.07,15.475376,1467,1040,407,9856,20,148.8,94.8,70.9,27.7
48453000601,Census Tract 6.01,1.11339,1409,618,779,8580,12,164.2,1265.5,43.9,55.3
48453002215,Census Tract 22.15,11.588865,1406,1158,231,4182,17,336.2,121.3,82.4,16.4
